"ub","bs","sv"
23964,40336,146888
25365,43638,157894
22616,38878,140182
24509,42932,158065
23304,40067,153848
21333,36079,135840
24314,40060,145923
23416,40765,152441
21446,36656,138299
21904,36531,132694
21548,36198,133595
17308,29762,108708
22073,37238,140237
21677,36208,143167
21216,35266,137051
21870,36980,137198
22497,38155,145032
19279,32491,124686
20989,34197,130029
21078,35638,125236
20956,33997,127027
21195,34212,128468
22617,36331,132499
23766,39024,146308
21120,34710,132175
19219,32394,121869
19464,32572,123613
18626,32300,127176
15949,26931,98795
17106,29190,114074
17573,30030,114878
23892,38619,136627
19078,31452,116319
20601,33876,125775
20575,33852,133471
19342,31977,119602
18610,30483,122162
19151,31717,127474
20419,34722,132357
19568,32431,129628
18639,31665,140033
20567,34267,128167
20873,35068,140271
20585,35144,134097
19133,32535,113463
19848,33338,128414
19480,32804,127365
19117,32241,121233
19640,33051,128761
20245,33948,135540
19180,33041,133201
20119,36661,148841
21975,37454,154954
21793,37792,146377
21291,35220,134390
21271,35443,135748
20420,34256,129109
22089,36510,143099
23749,40259,156852
20857,35813,138008
21884,36864,138693
24136,42000,167210
20677,35622,132313
20975,35879,138420
20299,34333,137055
20511,35104,134967
