"ub","bs","sv"
153901,252900,894713
160563,260750,901434
144178,242233,842997
181059,307815,1073218
161339,263769,913555
143849,232530,782926
163531,261625,851527
158466,261892,900299
136506,225532,764178
144914,235364,787036
138236,221344,749178
101375,171140,577062
134153,220455,754889
138114,224565,782403
143697,231398,825672
156422,253347,917056
186148,302071,1076785
143041,233421,833242
140269,226436,817728
144347,237837,864146
142522,225918,792263
138483,219696,777402
142733,231978,838212
139379,223382,798053
138045,222829,773752
131021,207659,964506
123976,198666,950511
120848,193429,887377
103302,168942,824048
111780,187956,949273
121925,201737,1012375
134834,225965,1109572
131044,212006,914430
141703,224136,856707
132829,216509,860760
129358,209159,818305
121688,196776,780813
122189,199870,807092
128031,211494,832417
126010,201379,780824
125056,202525,798304
131198,211329,834402
135675,219883,853881
143640,231984,877233
132645,217010,804430
131902,215101,831017
140600,227383,873754
133134,216487,834721
127803,209712,825003
132682,215114,850773
122684,204282,837544
121199,213165,837768
139867,231343,915896
145128,237281,926958
140733,226472,902677
135156,218055,888362
128333,208848,829584
125732,204297,825827
131776,212697,857765
126461,208368,844637
126086,204836,833405
136669,219044,860688
131564,213915,852851
130347,210329,831281
120117,197397,815279
117520,193816,798617
93296,155486,624763
123947,205821,809645
124895,203088,829324
110171,176982,726536
121961,198686,803448
115148,192008,787019
110501,181543,764264
115269,190382,796252
117647,195537,808515
115005,188055,763988
116992,192556,801490
95397,156774,639478
94720,154952,626878
91712,149876,582821
84602,137821,548826
88490,144869,589485
100244,168654,683129
109270,179819,732493
106849,180059,752973
107640,173321,711825
108052,175532,712056
115485,187592,747501
124046,205148,838740
120696,205947,881818
114723,188383,781065
111843,183432,733519
106253,176852,742396
120899,195681,783478
120469,194673,814828
113094,184150,745753
123889,211944,808817
110625,184208,757704
113903,193959,809878
109807,183982,778819
126891,218447,917900
105337,177610,730086
105439,176204,721455
